,precision,recall,f1-score,support
Beetle,0.9411764705882353,0.96,0.9504950495049505,100.0
Butterfly,0.9405940594059405,0.95,0.945273631840796,100.0
Cat,0.9946091644204852,0.9365482233502538,0.9647058823529412,394.0
Cow,0.967032967032967,0.9943502824858758,0.9805013927576601,177.0
Dog,0.9,0.9204545454545454,0.9101123595505618,88.0
Elephant,0.9932885906040269,0.9673202614379085,0.9801324503311258,306.0
Gorilla,0.6818181818181818,1.0,0.8108108108108109,30.0
Hippo,0.9180327868852459,0.9824561403508771,0.9491525423728814,57.0
Lizard,0.8672566371681416,0.98,0.92018779342723,100.0
Monkey,0.973404255319149,0.9945652173913043,0.9838709677419355,184.0
Mouse,0.9072164948453608,0.88,0.8934010152284264,100.0
Panda,0.9957446808510638,0.9873417721518988,0.9915254237288136,237.0
Spider,0.9888888888888889,0.89,0.9368421052631579,100.0
Tiger,0.9702380952380952,0.9939024390243902,0.9819277108433735,164.0
Zebra,1.0,0.9888888888888889,0.994413407821229,270.0
accuracy,0.9642708766098879,0.9642708766098879,0.9642708766098879,0.9642708766098879
macro avg,0.9359534182043856,0.961721851369063,0.9462235029050597,2407.0
weighted avg,0.9670543182498847,0.9642708766098879,0.9647905311804168,2407.0
