,precision,recall,f1-score,support
Beetle,0.9479166666666666,0.91,0.9285714285714286,100.0
Butterfly,0.9595959595959596,0.95,0.9547738693467337,100.0
Cat,0.9913294797687862,0.8705583756345178,0.927027027027027,394.0
Cow,0.946236559139785,0.9943502824858758,0.9696969696969697,177.0
Dog,0.8367346938775511,0.9318181818181818,0.8817204301075269,88.0
Elephant,0.9965870307167235,0.954248366013072,0.9749582637729549,306.0
Gorilla,0.6666666666666666,1.0,0.8,30.0
Hippo,0.9649122807017544,0.9649122807017544,0.9649122807017544,57.0
Lizard,0.8796296296296297,0.95,0.9134615384615384,100.0
Monkey,0.9479166666666666,0.9891304347826086,0.9680851063829787,184.0
Mouse,0.7818181818181819,0.86,0.819047619047619,100.0
Panda,0.9872881355932204,0.9831223628691983,0.985200845665962,237.0
Spider,0.93,0.93,0.93,100.0
Tiger,0.9754601226993865,0.9695121951219512,0.9724770642201835,164.0
Zebra,0.9640287769784173,0.9925925925925926,0.9781021897810219,270.0
accuracy,0.9472372247611134,0.9472372247611134,0.9472372247611134,0.9472372247611134
macro avg,0.9184080567012928,0.95001633813465,0.9312023088522466,2407.0
weighted avg,0.9514828412701959,0.9472372247611134,0.9478991168101446,2407.0
