,precision,recall,f1-score,support
Beetle,0.9795918367346939,0.96,0.9696969696969697,100.0
Butterfly,0.9603960396039604,0.97,0.9651741293532339,100.0
Cat,0.9866310160427807,0.9365482233502538,0.9609375,394.0
Cow,0.9832402234636871,0.9943502824858758,0.9887640449438202,177.0
Dog,0.9222222222222223,0.9431818181818182,0.9325842696629213,88.0
Elephant,0.9966329966329966,0.9673202614379085,0.9817578772802653,306.0
Gorilla,0.7692307692307693,1.0,0.8695652173913043,30.0
Hippo,0.9344262295081968,1.0,0.9661016949152542,57.0
Lizard,0.8990825688073395,0.98,0.937799043062201,100.0
Monkey,0.9838709677419355,0.9945652173913043,0.9891891891891892,184.0
Mouse,0.8431372549019608,0.86,0.8514851485148515,100.0
Panda,1.0,0.9873417721518988,0.9936305732484076,237.0
Spider,0.9693877551020408,0.95,0.9595959595959596,100.0
Tiger,0.9647058823529412,1.0,0.9820359281437125,164.0
Zebra,0.9925650557620818,0.9888888888888889,0.9907235621521335,270.0
accuracy,0.9684254258412962,0.9684254258412962,0.9684254258412962,0.9684254258412962
macro avg,0.9456747212071739,0.9688130975925299,0.9559360738100151,2407.0
weighted avg,0.9699321744492027,0.9684254258412962,0.9687105633380609,2407.0
