,precision,recall,f1-score,support
Beetle,0.6666666666666666,0.76,0.7102803738317757,100.0
Butterfly,0.6328125,0.81,0.7105263157894737,100.0
Cat,0.9282511210762332,0.5253807106598984,0.6709886547811994,394.0
Cow,0.2,0.02824858757062147,0.04950495049504951,177.0
Dog,0.009900990099009901,0.011363636363636364,0.010582010582010581,88.0
Elephant,0.0,0.0,0.0,306.0
Gorilla,0.14285714285714285,0.9666666666666667,0.24892703862660945,30.0
Hippo,0.0625,0.38596491228070173,0.10757946210268948,57.0
Lizard,0.5333333333333333,0.08,0.1391304347826087,100.0
Monkey,0.6193181818181818,0.592391304347826,0.6055555555555555,184.0
Mouse,0.3559322033898305,0.42,0.3853211009174312,100.0
Panda,0.4977578475336323,0.9367088607594937,0.6500732064421669,237.0
Spider,0.7478260869565218,0.86,0.8,100.0
Tiger,0.0,0.0,0.0,164.0
Zebra,0.7630057803468208,0.9777777777777777,0.8571428571428571,270.0
accuracy,0.4786040714582468,0.4786040714582468,0.4786040714582468,0.4786040714582468
macro avg,0.4106774569384915,0.4903001637617749,0.39637413073662847,2407.0
weighted avg,0.4742177973272771,0.4786040714582468,0.4400111881017868,2407.0
