,precision,recall,f1-score,support
Beetle,0.8807339449541285,0.96,0.9186602870813397,100.0
Butterfly,0.96,0.96,0.96,100.0
Cat,0.9787234042553191,0.934010152284264,0.9558441558441558,394.0
Cow,0.9505494505494505,0.9774011299435028,0.9637883008356546,177.0
Dog,0.8777777777777778,0.8977272727272727,0.8876404494382022,88.0
Elephant,0.9965635738831615,0.9477124183006536,0.9715242881072027,306.0
Gorilla,0.75,1.0,0.8571428571428571,30.0
Hippo,0.8235294117647058,0.9824561403508771,0.896,57.0
Lizard,0.8362068965517241,0.97,0.8981481481481481,100.0
Monkey,0.9576719576719577,0.9836956521739131,0.9705093833780161,184.0
Mouse,0.9042553191489362,0.85,0.8762886597938144,100.0
Panda,0.9956709956709957,0.9704641350210971,0.9829059829059829,237.0
Spider,0.9767441860465116,0.84,0.9032258064516129,100.0
Tiger,0.9761904761904762,1.0,0.9879518072289156,164.0
Zebra,0.9962546816479401,0.9851851851851852,0.9906890130353817,270.0
accuracy,0.953469048608226,0.953469048608226,0.953469048608226,0.953469048608226
macro avg,0.9240581384075389,0.950576805732451,0.9346879426260856,2407.0
weighted avg,0.9566107401508546,0.953469048608226,0.9539023966011713,2407.0
