,precision,recall,f1-score,support
Beetle,0.9509803921568627,0.97,0.9603960396039604,100.0
Butterfly,0.956989247311828,0.89,0.9222797927461139,100.0
Cat,0.9865951742627346,0.934010152284264,0.9595827900912647,394.0
Cow,0.9776536312849162,0.9887005649717514,0.9831460674157303,177.0
Dog,0.8936170212765957,0.9545454545454546,0.9230769230769231,88.0
Elephant,0.9933333333333333,0.9738562091503268,0.9834983498349835,306.0
Gorilla,0.8108108108108109,1.0,0.8955223880597015,30.0
Hippo,0.9344262295081968,1.0,0.9661016949152542,57.0
Lizard,0.9339622641509434,0.99,0.9611650485436893,100.0
Monkey,0.967741935483871,0.9782608695652174,0.972972972972973,184.0
Mouse,0.8846153846153846,0.92,0.9019607843137255,100.0
Panda,0.9957805907172996,0.9957805907172996,0.9957805907172996,237.0
Spider,0.9787234042553191,0.92,0.9484536082474226,100.0
Tiger,0.9590643274853801,1.0,0.9791044776119403,164.0
Zebra,0.9925925925925926,0.9925925925925926,0.9925925925925926,270.0
accuracy,0.9675945159950146,0.9675945159950146,0.9675945159950146,0.9675945159950146
macro avg,0.9477924226164045,0.9671830955884603,0.9563756080495717,2407.0
weighted avg,0.9687686928796211,0.9675945159950146,0.9676912731456808,2407.0
