,precision,recall,f1-score,support
Beetle,0.9797979797979798,0.97,0.9748743718592965,100.0
Butterfly,0.9583333333333334,0.92,0.9387755102040817,100.0
Cat,0.9972826086956522,0.9314720812182741,0.963254593175853,394.0
Cow,0.9723756906077348,0.9943502824858758,0.9832402234636871,177.0
Dog,0.9148936170212766,0.9772727272727273,0.945054945054945,88.0
Elephant,0.9901315789473685,0.9836601307189542,0.9868852459016394,306.0
Gorilla,0.8333333333333334,1.0,0.9090909090909091,30.0
Hippo,0.9322033898305084,0.9649122807017544,0.9482758620689655,57.0
Lizard,0.9,0.99,0.9428571428571428,100.0
Monkey,0.9837837837837838,0.9891304347826086,0.986449864498645,184.0
Mouse,0.8490566037735849,0.9,0.8737864077669902,100.0
Panda,1.0,0.9915611814345991,0.9957627118644068,237.0
Spider,0.95,0.95,0.95,100.0
Tiger,0.9819277108433735,0.9939024390243902,0.9878787878787879,164.0
Zebra,0.996268656716418,0.9888888888888889,0.9925650557620818,270.0
accuracy,0.9700872455338596,0.9700872455338596,0.9700872455338596,0.9700872455338596
macro avg,0.9492925524456232,0.9696766964352049,0.9585834420964955,2407.0
weighted avg,0.9715122681920291,0.9700872455338596,0.9703234600756141,2407.0
