,precision,recall,f1-score,support
Beetle,0.9238095238095239,0.97,0.9463414634146341,100.0
Butterfly,0.9591836734693877,0.94,0.9494949494949495,100.0
Cat,0.9864130434782609,0.9213197969543148,0.952755905511811,394.0
Cow,0.9402173913043478,0.9774011299435028,0.9584487534626038,177.0
Dog,0.8958333333333334,0.9772727272727273,0.9347826086956522,88.0
Elephant,0.9966329966329966,0.9673202614379085,0.9817578772802653,306.0
Gorilla,0.8108108108108109,1.0,0.8955223880597015,30.0
Hippo,0.9152542372881356,0.9473684210526315,0.9310344827586207,57.0
Lizard,0.8521739130434782,0.98,0.9116279069767442,100.0
Monkey,0.978494623655914,0.9891304347826086,0.9837837837837838,184.0
Mouse,0.8316831683168316,0.84,0.835820895522388,100.0
Panda,0.9915966386554622,0.9957805907172996,0.9936842105263158,237.0
Spider,1.0,0.87,0.93048128342246,100.0
Tiger,0.9590643274853801,1.0,0.9791044776119403,164.0
Zebra,1.0,0.9814814814814815,0.9906542056074766,270.0
accuracy,0.9592854175321978,0.9592854175321978,0.9592854175321978,0.9592854175321978
macro avg,0.9360778454189244,0.9571383229094982,0.9450196794752899,2407.0
weighted avg,0.961522665238737,0.9592854175321978,0.9595307300137071,2407.0
