,precision,recall,f1-score,support
Beetle,0.9795918367346939,0.96,0.9696969696969697,100.0
Butterfly,0.9591836734693877,0.94,0.9494949494949495,100.0
Cat,0.9918918918918919,0.9314720812182741,0.9607329842931938,394.0
Cow,0.9887005649717514,0.9887005649717514,0.9887005649717514,177.0
Dog,0.8736842105263158,0.9431818181818182,0.907103825136612,88.0
Elephant,0.9932659932659933,0.9640522875816994,0.978441127694859,306.0
Gorilla,0.7317073170731707,1.0,0.8450704225352113,30.0
Hippo,0.9047619047619048,1.0,0.95,57.0
Lizard,0.908256880733945,0.99,0.9473684210526315,100.0
Monkey,0.978494623655914,0.9891304347826086,0.9837837837837838,184.0
Mouse,0.898989898989899,0.89,0.8944723618090452,100.0
Panda,0.9957627118644068,0.9915611814345991,0.9936575052854123,237.0
Spider,0.9207920792079208,0.93,0.9253731343283582,100.0
Tiger,0.9704142011834319,1.0,0.984984984984985,164.0
Zebra,1.0,0.9925925925925926,0.9962825278810409,270.0
accuracy,0.9667636061487329,0.9667636061487329,0.9667636061487329,0.9667636061487329
macro avg,0.9396998525553751,0.967379397384223,0.9516775708632536,2407.0
weighted avg,0.968849105661387,0.9667636061487329,0.9671568254452416,2407.0
