,precision,recall,f1-score,support
Beetle,0.9607843137254902,0.98,0.9702970297029703,100.0
Butterfly,0.9603960396039604,0.97,0.9651741293532339,100.0
Cat,0.9919137466307277,0.934010152284264,0.9620915032679739,394.0
Cow,0.9723756906077348,0.9943502824858758,0.9832402234636871,177.0
Dog,0.8924731182795699,0.9431818181818182,0.9171270718232044,88.0
Elephant,1.0,0.9575163398692811,0.9782971619365609,306.0
Gorilla,0.7692307692307693,1.0,0.8695652173913043,30.0
Hippo,0.8888888888888888,0.9824561403508771,0.9333333333333333,57.0
Lizard,0.941747572815534,0.97,0.9556650246305419,100.0
Monkey,0.9627659574468085,0.9836956521739131,0.9731182795698925,184.0
Mouse,0.8932038834951457,0.92,0.9064039408866995,100.0
Panda,1.0,0.9915611814345991,0.9957627118644068,237.0
Spider,0.968421052631579,0.92,0.9435897435897436,100.0
Tiger,0.9647058823529412,1.0,0.9820359281437125,164.0
Zebra,0.9925925925925926,0.9925925925925926,0.9925925925925926,270.0
accuracy,0.9680099709181553,0.9680099709181553,0.9680099709181553,0.9680099709181553
macro avg,0.9439666338867827,0.9692909439582148,0.9552195927699905,2407.0
weighted avg,0.9696808162299682,0.9680099709181553,0.9682870990527775,2407.0
