,precision,recall,f1-score,support
Beetle,0.9142857142857143,0.96,0.9365853658536586,100.0
Butterfly,0.9393939393939394,0.93,0.9346733668341709,100.0
Cat,0.9918478260869565,0.9263959390862944,0.958005249343832,394.0
Cow,0.9943181818181818,0.9887005649717514,0.9915014164305949,177.0
Dog,0.9325842696629213,0.9431818181818182,0.9378531073446328,88.0
Elephant,0.9868852459016394,0.9836601307189542,0.9852700490998363,306.0
Gorilla,0.7894736842105263,1.0,0.8823529411764706,30.0
Hippo,0.9032258064516129,0.9824561403508771,0.9411764705882353,57.0
Lizard,0.9423076923076923,0.98,0.9607843137254902,100.0
Monkey,0.9891304347826086,0.9891304347826086,0.9891304347826086,184.0
Mouse,0.8034188034188035,0.94,0.8663594470046083,100.0
Panda,0.9957446808510638,0.9873417721518988,0.9915254237288136,237.0
Spider,0.9574468085106383,0.9,0.9278350515463918,100.0
Tiger,0.9818181818181818,0.9878048780487805,0.9848024316109423,164.0
Zebra,0.9962406015037594,0.9814814814814815,0.9888059701492538,270.0
accuracy,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104
macro avg,0.9412081247336161,0.9653435439849644,0.9517774026146362,2407.0
weighted avg,0.9678789669746379,0.9655172413793104,0.966012324521828,2407.0
