,precision,recall,f1-score,support
Beetle,0.9607843137254902,0.98,0.9702970297029703,100.0
Butterfly,0.9696969696969697,0.96,0.964824120603015,100.0
Cat,0.9946949602122016,0.9517766497461929,0.9727626459143969,394.0
Cow,0.9832402234636871,0.9943502824858758,0.9887640449438202,177.0
Dog,0.9032258064516129,0.9545454545454546,0.9281767955801105,88.0
Elephant,0.9933333333333333,0.9738562091503268,0.9834983498349835,306.0
Gorilla,0.8108108108108109,1.0,0.8955223880597015,30.0
Hippo,0.95,1.0,0.9743589743589743,57.0
Lizard,0.8596491228070176,0.98,0.9158878504672897,100.0
Monkey,0.9891891891891892,0.9945652173913043,0.991869918699187,184.0
Mouse,0.91,0.91,0.91,100.0
Panda,1.0,0.9915611814345991,0.9957627118644068,237.0
Spider,0.978494623655914,0.91,0.9430051813471503,100.0
Tiger,0.9760479041916168,0.9939024390243902,0.9848942598187311,164.0
Zebra,1.0,0.9851851851851852,0.9925373134328358,270.0
accuracy,0.9725799750727047,0.9725799750727047,0.9725799750727047,0.9725799750727047
macro avg,0.9519444838358562,0.9719828412642221,0.9608107723085049,2407.0
weighted avg,0.9741614870193276,0.9725799750727047,0.9728803007427631,2407.0
