,precision,recall,f1-score,support
Beetle,0.9411764705882353,0.96,0.9504950495049505,100.0
Butterfly,0.9509803921568627,0.97,0.9603960396039604,100.0
Cat,0.989247311827957,0.934010152284264,0.9608355091383812,394.0
Cow,0.9722222222222222,0.9887005649717514,0.9803921568627451,177.0
Dog,0.9032258064516129,0.9545454545454546,0.9281767955801105,88.0
Elephant,0.99,0.9705882352941176,0.9801980198019802,306.0
Gorilla,0.8108108108108109,1.0,0.8955223880597015,30.0
Hippo,0.9032258064516129,0.9824561403508771,0.9411764705882353,57.0
Lizard,0.9509803921568627,0.97,0.9603960396039604,100.0
Monkey,0.9837837837837838,0.9891304347826086,0.986449864498645,184.0
Mouse,0.8910891089108911,0.9,0.8955223880597015,100.0
Panda,1.0,1.0,1.0,237.0
Spider,0.968421052631579,0.92,0.9435897435897436,100.0
Tiger,0.9588235294117647,0.9939024390243902,0.9760479041916168,164.0
Zebra,0.9962825278810409,0.9925925925925926,0.9944341372912802,270.0
accuracy,0.9688408807644371,0.9688408807644371,0.9688408807644371,0.9688408807644371
macro avg,0.9473512810190158,0.9683950675897371,0.9569088337583342,2407.0
weighted avg,0.9699223679540615,0.9688408807644371,0.968985151375595,2407.0
