,precision,recall,f1-score,support
Beetle,0.9587628865979382,0.93,0.9441624365482234,100.0
Butterfly,0.9607843137254902,0.98,0.9702970297029703,100.0
Cat,0.9918032786885246,0.9213197969543148,0.9552631578947368,394.0
Cow,0.9777777777777777,0.9943502824858758,0.9859943977591037,177.0
Dog,0.8842105263157894,0.9545454545454546,0.9180327868852459,88.0
Elephant,0.9966666666666667,0.9771241830065359,0.9867986798679867,306.0
Gorilla,0.7894736842105263,1.0,0.8823529411764706,30.0
Hippo,0.95,1.0,0.9743589743589743,57.0
Lizard,0.8828828828828829,0.98,0.9289099526066351,100.0
Monkey,0.9837837837837838,0.9891304347826086,0.986449864498645,184.0
Mouse,0.8598130841121495,0.92,0.8888888888888888,100.0
Panda,0.9957446808510638,0.9873417721518988,0.9915254237288136,237.0
Spider,0.9789473684210527,0.93,0.9538461538461539,100.0
Tiger,0.9585798816568047,0.9878048780487805,0.972972972972973,164.0
Zebra,0.9962546816479401,0.9851851851851852,0.9906890130353817,270.0
accuracy,0.9667636061487329,0.9667636061487329,0.9667636061487329,0.9667636061487329
macro avg,0.9443656998225596,0.969120132477377,0.9553695115847469,2407.0
weighted avg,0.9687513581639302,0.9667636061487329,0.9671015253057899,2407.0
