,precision,recall,f1-score,support
Beetle,0.9313725490196079,0.95,0.9405940594059405,100.0
Butterfly,0.9278350515463918,0.9,0.9137055837563451,100.0
Cat,0.978319783197832,0.916243654822335,0.9462647444298821,394.0
Cow,0.9771428571428571,0.9661016949152542,0.9715909090909091,177.0
Dog,0.9204545454545454,0.9204545454545454,0.9204545454545454,88.0
Elephant,0.9735973597359736,0.9640522875816994,0.9688013136288999,306.0
Gorilla,0.7142857142857143,1.0,0.8333333333333334,30.0
Hippo,0.9333333333333333,0.9824561403508771,0.9572649572649573,57.0
Lizard,0.8495575221238938,0.96,0.9014084507042254,100.0
Monkey,0.9619565217391305,0.9619565217391305,0.9619565217391305,184.0
Mouse,0.8173076923076923,0.85,0.8333333333333334,100.0
Panda,0.9915254237288136,0.9873417721518988,0.9894291754756871,237.0
Spider,0.9263157894736842,0.88,0.9025641025641026,100.0
Tiger,0.9590643274853801,1.0,0.9791044776119403,164.0
Zebra,0.996268656716418,0.9888888888888889,0.9925650557620818,270.0
accuracy,0.9513917739925218,0.9513917739925218,0.9513917739925218,0.9513917739925218
macro avg,0.9238891418194178,0.948499700393642,0.9341580375703543,2407.0
weighted avg,0.9536647763580813,0.9513917739925218,0.9518230875352154,2407.0
