,precision,recall,f1-score,support
Beetle,0.9607843137254902,0.98,0.9702970297029703,100.0
Butterfly,0.96,0.96,0.96,100.0
Cat,0.9920212765957447,0.9467005076142132,0.9688311688311688,394.0
Cow,0.9831460674157303,0.9887005649717514,0.9859154929577465,177.0
Dog,0.9130434782608695,0.9545454545454546,0.9333333333333333,88.0
Elephant,0.9900332225913622,0.9738562091503268,0.9818780889621087,306.0
Gorilla,0.7894736842105263,1.0,0.8823529411764706,30.0
Hippo,0.9016393442622951,0.9649122807017544,0.9322033898305084,57.0
Lizard,0.9230769230769231,0.96,0.9411764705882353,100.0
Monkey,0.973404255319149,0.9945652173913043,0.9838709677419355,184.0
Mouse,0.8640776699029126,0.89,0.8768472906403941,100.0
Panda,1.0,0.9873417721518988,0.9936305732484076,237.0
Spider,0.9587628865979382,0.93,0.9441624365482234,100.0
Tiger,0.9761904761904762,1.0,0.9879518072289156,164.0
Zebra,1.0,0.9814814814814815,0.9906542056074766,270.0
accuracy,0.9692563356875779,0.9692563356875779,0.9692563356875779,0.9692563356875779
macro avg,0.9457102398766278,0.9674735658672123,0.9555403464265264,2407.0
weighted avg,0.970552838664219,0.9692563356875779,0.9695440346307874,2407.0
