,precision,recall,f1-score,support
Beetle,0.96,0.96,0.96,100.0
Butterfly,0.97,0.97,0.97,100.0
Cat,0.9920212765957447,0.9467005076142132,0.9688311688311688,394.0
Cow,0.9831460674157303,0.9887005649717514,0.9859154929577465,177.0
Dog,0.8936170212765957,0.9545454545454546,0.9230769230769231,88.0
Elephant,0.9900990099009901,0.9803921568627451,0.9852216748768473,306.0
Gorilla,0.8823529411764706,1.0,0.9375,30.0
Hippo,0.9482758620689655,0.9649122807017544,0.9565217391304348,57.0
Lizard,0.9326923076923077,0.97,0.9509803921568627,100.0
Monkey,0.9786096256684492,0.9945652173913043,0.9865229110512129,184.0
Mouse,0.9029126213592233,0.93,0.916256157635468,100.0
Panda,1.0,0.9873417721518988,0.9936305732484076,237.0
Spider,0.95,0.95,0.95,100.0
Tiger,0.9819277108433735,0.9939024390243902,0.9878787878787879,164.0
Zebra,0.9925925925925926,0.9925925925925926,0.9925925925925926,270.0
accuracy,0.9734108849189863,0.9734108849189863,0.9734108849189863,0.9734108849189863
macro avg,0.9572164691060294,0.9722435323904068,0.9643285608957634,2407.0
weighted avg,0.9741025977536507,0.9734108849189863,0.973547279323295,2407.0
