,precision,recall,f1-score,support
Beetle,0.9514563106796117,0.98,0.9655172413793104,100.0
Butterfly,0.9696969696969697,0.96,0.964824120603015,100.0
Cat,0.9919786096256684,0.9416243654822335,0.9661458333333334,394.0
Cow,0.9617486338797814,0.9943502824858758,0.9777777777777777,177.0
Dog,0.9333333333333333,0.9545454545454546,0.9438202247191011,88.0
Elephant,0.9867109634551495,0.9705882352941176,0.9785831960461285,306.0
Gorilla,0.8823529411764706,1.0,0.9375,30.0
Hippo,0.9310344827586207,0.9473684210526315,0.9391304347826087,57.0
Lizard,0.9595959595959596,0.95,0.9547738693467337,100.0
Monkey,0.9786096256684492,0.9945652173913043,0.9865229110512129,184.0
Mouse,0.8425925925925926,0.91,0.875,100.0
Panda,0.9915611814345991,0.9915611814345991,0.9915611814345991,237.0
Spider,0.9797979797979798,0.97,0.9748743718592965,100.0
Tiger,0.9879518072289156,1.0,0.9939393939393939,164.0
Zebra,0.9962825278810409,0.9925925925925926,0.9944341372912802,270.0
accuracy,0.9717490652264229,0.9717490652264229,0.9717490652264229,0.9717490652264229
macro avg,0.9563135945870095,0.970479716685254,0.9629603129042528,2407.0
weighted avg,0.972610740990905,0.9717490652264229,0.9719188413689116,2407.0
