,precision,recall,f1-score,support
Beetle,0.9607843137254902,0.98,0.9702970297029703,100.0
Butterfly,0.9603960396039604,0.97,0.9651741293532339,100.0
Cat,0.989247311827957,0.934010152284264,0.9608355091383812,394.0
Cow,0.9774011299435028,0.9774011299435028,0.9774011299435028,177.0
Dog,0.8936170212765957,0.9545454545454546,0.9230769230769231,88.0
Elephant,0.99,0.9705882352941176,0.9801980198019802,306.0
Gorilla,0.8571428571428571,1.0,0.9230769230769231,30.0
Hippo,0.9344262295081968,1.0,0.9661016949152542,57.0
Lizard,0.9074074074074074,0.98,0.9423076923076923,100.0
Monkey,0.9891891891891892,0.9945652173913043,0.991869918699187,184.0
Mouse,0.839622641509434,0.89,0.8640776699029126,100.0
Panda,1.0,0.9957805907172996,0.9978858350951374,237.0
Spider,0.9680851063829787,0.91,0.9381443298969072,100.0
Tiger,0.9761904761904762,1.0,0.9879518072289156,164.0
Zebra,0.996268656716418,0.9888888888888889,0.9925650557620818,270.0
accuracy,0.9688408807644371,0.9688408807644371,0.9688408807644371,0.9688408807644371
macro avg,0.9493185586949643,0.9697186446043222,0.9587309111934669,2407.0
weighted avg,0.9701065461617022,0.9688408807644371,0.9690570887864762,2407.0
