,precision,recall,f1-score,support
Beetle,0.96,0.96,0.96,100.0
Butterfly,0.94,0.94,0.94,100.0
Cat,0.9919137466307277,0.934010152284264,0.9620915032679739,394.0
Cow,0.9777777777777777,0.9943502824858758,0.9859943977591037,177.0
Dog,0.9021739130434783,0.9431818181818182,0.9222222222222223,88.0
Elephant,0.9900332225913622,0.9738562091503268,0.9818780889621087,306.0
Gorilla,0.7692307692307693,1.0,0.8695652173913043,30.0
Hippo,0.9322033898305084,0.9649122807017544,0.9482758620689655,57.0
Lizard,0.908256880733945,0.99,0.9473684210526315,100.0
Monkey,0.9945652173913043,0.9945652173913043,0.9945652173913043,184.0
Mouse,0.8598130841121495,0.92,0.8888888888888888,100.0
Panda,0.9957805907172996,0.9957805907172996,0.9957805907172996,237.0
Spider,0.956989247311828,0.89,0.9222797927461139,100.0
Tiger,0.9820359281437125,1.0,0.9909365558912386,164.0
Zebra,1.0,0.9925925925925926,0.9962825278810409,270.0
accuracy,0.9684254258412962,0.9684254258412962,0.9684254258412962,0.9684254258412962
macro avg,0.9440515845009908,0.9662166095670156,0.9537419524160131,2407.0
weighted avg,0.9700849534809223,0.9684254258412962,0.9687152389245457,2407.0
