,precision,recall,f1-score,support
Beetle,0.8899082568807339,0.97,0.9282296650717703,100.0
Butterfly,0.989247311827957,0.92,0.9533678756476683,100.0
Cat,0.9889807162534435,0.9111675126903553,0.9484808454425363,394.0
Cow,0.967032967032967,0.9943502824858758,0.9805013927576601,177.0
Dog,0.8842105263157894,0.9545454545454546,0.9180327868852459,88.0
Elephant,0.9966101694915255,0.9607843137254902,0.978369384359401,306.0
Gorilla,0.75,1.0,0.8571428571428571,30.0
Hippo,0.9193548387096774,1.0,0.957983193277311,57.0
Lizard,0.7903225806451613,0.98,0.875,100.0
Monkey,0.9891304347826086,0.9891304347826086,0.9891304347826086,184.0
Mouse,0.8631578947368421,0.82,0.841025641025641,100.0
Panda,0.9915966386554622,0.9957805907172996,0.9936842105263158,237.0
Spider,0.9444444444444444,0.85,0.8947368421052632,100.0
Tiger,0.9761904761904762,1.0,0.9879518072289156,164.0
Zebra,0.9925650557620818,0.9888888888888889,0.9907235621521335,270.0
accuracy,0.9567926879933527,0.9567926879933527,0.9567926879933527,0.9567926879933527
macro avg,0.9288501541152782,0.9556431651890649,0.9396240332270219,2407.0
weighted avg,0.9602426076947229,0.9567926879933527,0.9572065071291339,2407.0
