,precision,recall,f1-score,support
Beetle,0.9504950495049505,0.96,0.9552238805970149,100.0
Butterfly,0.9603960396039604,0.97,0.9651741293532339,100.0
Cat,0.9893333333333333,0.9416243654822335,0.9648894668400521,394.0
Cow,0.9887005649717514,0.9887005649717514,0.9887005649717514,177.0
Dog,0.9239130434782609,0.9659090909090909,0.9444444444444444,88.0
Elephant,0.9933333333333333,0.9738562091503268,0.9834983498349835,306.0
Gorilla,0.7317073170731707,1.0,0.8450704225352113,30.0
Hippo,0.95,1.0,0.9743589743589743,57.0
Lizard,0.9326923076923077,0.97,0.9509803921568627,100.0
Monkey,0.9891304347826086,0.9891304347826086,0.9891304347826086,184.0
Mouse,0.8666666666666667,0.91,0.8878048780487805,100.0
Panda,1.0,0.9915611814345991,0.9957627118644068,237.0
Spider,0.9791666666666666,0.94,0.9591836734693877,100.0
Tiger,0.9820359281437125,1.0,0.9909365558912386,164.0
Zebra,0.9925650557620818,0.9888888888888889,0.9907235621521335,270.0
accuracy,0.9717490652264229,0.9717490652264229,0.9717490652264229,0.9717490652264229
macro avg,0.9486757160675203,0.9726447157079667,0.9590588294200724,2407.0
weighted avg,0.97347363147337,0.9717490652264229,0.9721479207859353,2407.0
