,precision,recall,f1-score,support
Beetle,0.9223300970873787,0.95,0.9359605911330049,100.0
Butterfly,0.9393939393939394,0.93,0.9346733668341709,100.0
Cat,0.9837837837837838,0.9238578680203046,0.9528795811518325,394.0
Cow,0.946524064171123,1.0,0.9725274725274725,177.0
Dog,0.9090909090909091,0.9090909090909091,0.9090909090909091,88.0
Elephant,0.9966101694915255,0.9607843137254902,0.978369384359401,306.0
Gorilla,0.75,1.0,0.8571428571428571,30.0
Hippo,0.8888888888888888,0.9824561403508771,0.9333333333333333,57.0
Lizard,0.8990825688073395,0.98,0.937799043062201,100.0
Monkey,0.9523809523809523,0.9782608695652174,0.9651474530831099,184.0
Mouse,0.8240740740740741,0.89,0.8557692307692307,100.0
Panda,0.9957081545064378,0.9789029535864979,0.9872340425531915,237.0
Spider,0.978021978021978,0.89,0.9319371727748691,100.0
Tiger,0.9818181818181818,0.9878048780487805,0.9848024316109423,164.0
Zebra,1.0,0.9888888888888889,0.994413407821229,270.0
accuracy,0.9580390527627752,0.9580390527627752,0.9580390527627752,0.9580390527627752
macro avg,0.9311805174344342,0.9566697880851311,0.9420720184831838,2407.0
weighted avg,0.9604504877910038,0.9580390527627752,0.958471954194067,2407.0
