,precision,recall,f1-score,support
Beetle,0.9484536082474226,0.92,0.934010152284264,100.0
Butterfly,0.9381443298969072,0.91,0.9238578680203046,100.0
Cat,0.986449864498645,0.9238578680203046,0.9541284403669725,394.0
Cow,0.9884393063583815,0.9661016949152542,0.9771428571428571,177.0
Dog,0.8804347826086957,0.9204545454545454,0.9,88.0
Elephant,0.9797979797979798,0.9509803921568627,0.9651741293532339,306.0
Gorilla,0.6976744186046512,1.0,0.821917808219178,30.0
Hippo,0.875,0.9824561403508771,0.9256198347107438,57.0
Lizard,0.8016528925619835,0.97,0.8778280542986425,100.0
Monkey,0.9572192513368984,0.9728260869565217,0.9649595687331537,184.0
Mouse,0.8557692307692307,0.89,0.8725490196078431,100.0
Panda,0.9957081545064378,0.9789029535864979,0.9872340425531915,237.0
Spider,0.9340659340659341,0.85,0.8900523560209425,100.0
Tiger,0.9526627218934911,0.9817073170731707,0.9669669669669669,164.0
Zebra,0.9925925925925926,0.9925925925925926,0.9925925925925926,270.0
accuracy,0.9501454092230993,0.9501454092230993,0.9501454092230993,0.9501454092230993
macro avg,0.9189376711826167,0.9473253060737752,0.9302689127247258,2407.0
weighted avg,0.9538317988751481,0.9501454092230993,0.9508854989463393,2407.0
