,precision,recall,f1-score,support
Beetle,0.9583333333333334,0.92,0.9387755102040817,100.0
Butterfly,0.9494949494949495,0.94,0.9447236180904522,100.0
Cat,0.9944598337950139,0.9111675126903553,0.9509933774834437,394.0
Cow,0.976878612716763,0.9548022598870056,0.9657142857142857,177.0
Dog,0.8829787234042553,0.9431818181818182,0.9120879120879121,88.0
Elephant,0.976897689768977,0.9673202614379085,0.9720853858784894,306.0
Gorilla,0.7317073170731707,1.0,0.8450704225352113,30.0
Hippo,0.9032258064516129,0.9824561403508771,0.9411764705882353,57.0
Lizard,0.8660714285714286,0.97,0.9150943396226415,100.0
Monkey,0.956989247311828,0.967391304347826,0.9621621621621622,184.0
Mouse,0.7678571428571429,0.86,0.8113207547169812,100.0
Panda,0.9914529914529915,0.9789029535864979,0.9851380042462845,237.0
Spider,0.9340659340659341,0.85,0.8900523560209425,100.0
Tiger,0.9532163742690059,0.9939024390243902,0.9731343283582089,164.0
Zebra,0.9852941176470589,0.9925925925925926,0.988929889298893,270.0
accuracy,0.9505608641462401,0.9505608641462401,0.9505608641462401,0.9505608641462401
macro avg,0.9219282334808978,0.9487811521399514,0.9330972544672149,2407.0
weighted avg,0.9537981539807884,0.9505608641462401,0.9511679093532237,2407.0
