,precision,recall,f1-score,support
Beetle,0.97,0.97,0.97,100.0
Butterfly,0.9405940594059405,0.95,0.945273631840796,100.0
Cat,0.9868766404199475,0.9543147208121827,0.9703225806451613,394.0
Cow,0.9723756906077348,0.9943502824858758,0.9832402234636871,177.0
Dog,0.9247311827956989,0.9772727272727273,0.9502762430939227,88.0
Elephant,1.0,0.9738562091503268,0.9867549668874173,306.0
Gorilla,0.7317073170731707,1.0,0.8450704225352113,30.0
Hippo,0.9180327868852459,0.9824561403508771,0.9491525423728814,57.0
Lizard,0.9306930693069307,0.94,0.9353233830845771,100.0
Monkey,0.9781420765027322,0.9728260869565217,0.9754768392370572,184.0
Mouse,0.9191919191919192,0.91,0.914572864321608,100.0
Panda,0.9914893617021276,0.9831223628691983,0.9872881355932204,237.0
Spider,0.979381443298969,0.95,0.9644670050761421,100.0
Tiger,0.9588235294117647,0.9939024390243902,0.9760479041916168,164.0
Zebra,0.9962406015037594,0.9814814814814815,0.9888059701492538,270.0
accuracy,0.9696717906107187,0.9696717906107187,0.9696717906107187,0.9696717906107187
macro avg,0.9465519785403961,0.9689054966935718,0.9561381808328367,2407.0
weighted avg,0.9712399323487875,0.9696717906107187,0.9700265626895053,2407.0
