,precision,recall,f1-score,support
Beetle,0.9603960396039604,0.97,0.9651741293532339,100.0
Butterfly,0.9693877551020408,0.95,0.9595959595959596,100.0
Cat,0.9920634920634921,0.9517766497461929,0.9715025906735751,394.0
Cow,0.9887005649717514,0.9887005649717514,0.9887005649717514,177.0
Dog,0.9032258064516129,0.9545454545454546,0.9281767955801105,88.0
Elephant,0.9966442953020134,0.9705882352941176,0.9834437086092715,306.0
Gorilla,0.8571428571428571,1.0,0.9230769230769231,30.0
Hippo,0.9193548387096774,1.0,0.957983193277311,57.0
Lizard,0.8660714285714286,0.97,0.9150943396226415,100.0
Monkey,0.9732620320855615,0.9891304347826086,0.9811320754716981,184.0
Mouse,0.8823529411764706,0.9,0.8910891089108911,100.0
Panda,1.0,0.9873417721518988,0.9936305732484076,237.0
Spider,0.9578947368421052,0.91,0.9333333333333333,100.0
Tiger,0.9820359281437125,1.0,0.9909365558912386,164.0
Zebra,1.0,0.9925925925925926,0.9962825278810409,270.0
accuracy,0.9705027004570004,0.9705027004570004,0.9705027004570004,0.9705027004570004
macro avg,0.9499021810777789,0.9689783802723079,0.9586101586331593,2407.0
weighted avg,0.9718288113721745,0.9705027004570004,0.970768598172956,2407.0
