,precision,recall,f1-score,support
Beetle,0.9230769230769231,0.96,0.9411764705882353,100.0
Butterfly,0.9320388349514563,0.96,0.9458128078817734,100.0
Cat,0.9918918918918919,0.9314720812182741,0.9607329842931938,394.0
Cow,0.9776536312849162,0.9887005649717514,0.9831460674157303,177.0
Dog,0.9325842696629213,0.9431818181818182,0.9378531073446328,88.0
Elephant,0.9932885906040269,0.9673202614379085,0.9801324503311258,306.0
Gorilla,0.8108108108108109,1.0,0.8955223880597015,30.0
Hippo,0.9333333333333333,0.9824561403508771,0.9572649572649573,57.0
Lizard,0.9326923076923077,0.97,0.9509803921568627,100.0
Monkey,0.9838709677419355,0.9945652173913043,0.9891891891891892,184.0
Mouse,0.8333333333333334,0.9,0.8653846153846154,100.0
Panda,0.9957983193277311,1.0,0.9978947368421053,237.0
Spider,0.956989247311828,0.89,0.9222797927461139,100.0
Tiger,0.9704142011834319,1.0,0.984984984984985,164.0
Zebra,0.9962825278810409,0.9925925925925926,0.9944341372912802,270.0
accuracy,0.9667636061487329,0.9667636061487329,0.9667636061487329,0.9667636061487329
macro avg,0.944270612672526,0.9653525784096352,0.9537859387849668,2407.0
weighted avg,0.9681686260183077,0.9667636061487329,0.9669867275122482,2407.0
