,precision,recall,f1-score,support
Beetle,0.288,0.36,0.32,100.0
Butterfly,0.3383458646616541,0.45,0.38626609442060084,100.0
Cat,0.5684210526315789,0.13705583756345177,0.22085889570552147,394.0
Cow,0.4304635761589404,0.3672316384180791,0.39634146341463417,177.0
Dog,0.19607843137254902,0.3409090909090909,0.24896265560165975,88.0
Elephant,0.7154150197628458,0.5915032679738562,0.6475849731663685,306.0
Gorilla,0.24210526315789474,0.7666666666666667,0.368,30.0
Hippo,0.21428571428571427,0.5789473684210527,0.3127962085308057,57.0
Lizard,0.18631178707224336,0.49,0.2699724517906336,100.0
Monkey,0.33653846153846156,0.19021739130434784,0.24305555555555555,184.0
Mouse,0.013157894736842105,0.01,0.011363636363636364,100.0
Panda,0.6835443037974683,0.6835443037974683,0.6835443037974683,237.0
Spider,0.14772727272727273,0.13,0.13829787234042554,100.0
Tiger,0.4092827004219409,0.5914634146341463,0.4837905236907731,164.0
Zebra,0.8024691358024691,0.7222222222222222,0.7602339181286549,270.0
accuracy,0.4233485666805152,0.4233485666805152,0.4233485666805152,0.4233485666805152
macro avg,0.3714764318751917,0.42731741346069213,0.3660712368337825,2407.0
weighted avg,0.48228736091107405,0.4233485666805152,0.41962067918332024,2407.0
