,precision,recall,f1-score,support
Beetle,0.9514563106796117,0.98,0.9655172413793104,100.0
Butterfly,0.9368421052631579,0.89,0.9128205128205128,100.0
Cat,0.9788359788359788,0.9390862944162437,0.9585492227979274,394.0
Cow,0.9723756906077348,0.9943502824858758,0.9832402234636871,177.0
Dog,0.9101123595505618,0.9204545454545454,0.9152542372881356,88.0
Elephant,0.9966555183946488,0.9738562091503268,0.9851239669421488,306.0
Gorilla,0.8571428571428571,1.0,0.9230769230769231,30.0
Hippo,0.9344262295081968,1.0,0.9661016949152542,57.0
Lizard,0.9326923076923077,0.97,0.9509803921568627,100.0
Monkey,0.9838709677419355,0.9945652173913043,0.9891891891891892,184.0
Mouse,0.8181818181818182,0.9,0.8571428571428571,100.0
Panda,1.0,0.9831223628691983,0.9914893617021276,237.0
Spider,0.9484536082474226,0.92,0.934010152284264,100.0
Tiger,0.9704142011834319,1.0,0.984984984984985,164.0
Zebra,1.0,0.9888888888888889,0.994413407821229,270.0
accuracy,0.9659326963024512,0.9659326963024512,0.9659326963024512,0.9659326963024512
macro avg,0.9460973302019777,0.9636215867104256,0.9541262911976942,2407.0
weighted avg,0.9670784096507854,0.9659326963024512,0.9661497246221237,2407.0
