,precision,recall,f1-score,support
Beetle,0.12857142857142856,0.27,0.17419354838709677,100.0
Butterfly,0.2315270935960591,0.47,0.3102310231023102,100.0
Cat,0.5733333333333334,0.10913705583756345,0.18336886993603413,394.0
Cow,0.18579234972677597,0.192090395480226,0.18888888888888888,177.0
Dog,0.08547008547008547,0.11363636363636363,0.0975609756097561,88.0
Elephant,0.2572463768115942,0.23202614379084968,0.24398625429553264,306.0
Gorilla,0.09444444444444444,0.5666666666666667,0.1619047619047619,30.0
Hippo,0.021739130434782608,0.017543859649122806,0.019417475728155338,57.0
Lizard,0.11564625850340136,0.17,0.13765182186234817,100.0
Monkey,0.2631578947368421,0.08152173913043478,0.12448132780082988,184.0
Mouse,0.020833333333333332,0.02,0.02040816326530612,100.0
Panda,0.40268456375838924,0.5063291139240507,0.4485981308411215,237.0
Spider,0.06060606060606061,0.08,0.06896551724137931,100.0
Tiger,0.14754098360655737,0.10975609756097561,0.1258741258741259,164.0
Zebra,0.4528301886792453,0.4444444444444444,0.4485981308411215,270.0
accuracy,0.22850020772746157,0.22850020772746157,0.22850020772746157,0.22850020772746157
macro avg,0.2027615683741555,0.2255434586747132,0.18360860103858456,2407.0
weighted avg,0.2887936791803161,0.22850020772746157,0.22310841188652758,2407.0
