,precision,recall,f1-score,support
Beetle,0.2713178294573643,0.35,0.3056768558951965,100.0
Butterfly,0.3858267716535433,0.49,0.43171806167400884,100.0
Cat,0.6396396396396397,0.1802030456852792,0.2811881188118812,394.0
Cow,0.4375,0.3559322033898305,0.3925233644859813,177.0
Dog,0.2694610778443114,0.5113636363636364,0.35294117647058826,88.0
Elephant,0.7169811320754716,0.6209150326797386,0.6654991243432574,306.0
Gorilla,0.26136363636363635,0.7666666666666667,0.3898305084745763,30.0
Hippo,0.2097902097902098,0.5263157894736842,0.3,57.0
Lizard,0.23711340206185566,0.46,0.3129251700680272,100.0
Monkey,0.4482758620689655,0.3532608695652174,0.3951367781155015,184.0
Mouse,0.05,0.04,0.044444444444444446,100.0
Panda,0.762114537444934,0.729957805907173,0.7456896551724138,237.0
Spider,0.20952380952380953,0.22,0.2146341463414634,100.0
Tiger,0.5116279069767442,0.6707317073170732,0.5804749340369393,164.0
Zebra,0.8539325842696629,0.8444444444444444,0.8491620111731844,270.0
accuracy,0.47943498130452844,0.47943498130452844,0.47943498130452844,0.47943498130452844
macro avg,0.4176312266113433,0.47465274676618285,0.4174562899671642,2407.0
weighted avg,0.5339900831301014,0.47943498130452844,0.47719415897334105,2407.0
