,precision,recall,f1-score,support
Beetle,0.20168067226890757,0.24,0.2191780821917808,100.0
Butterfly,0.3125,0.45,0.36885245901639346,100.0
Cat,0.5851063829787234,0.13959390862944163,0.22540983606557377,394.0
Cow,0.3076923076923077,0.22598870056497175,0.26058631921824105,177.0
Dog,0.2112676056338028,0.3409090909090909,0.2608695652173913,88.0
Elephant,0.6840148698884758,0.6013071895424836,0.64,306.0
Gorilla,0.2,0.7,0.3111111111111111,30.0
Hippo,0.16883116883116883,0.45614035087719296,0.24644549763033174,57.0
Lizard,0.2076923076923077,0.54,0.3,100.0
Monkey,0.4380952380952381,0.25,0.31833910034602075,184.0
Mouse,0.0375,0.03,0.03333333333333333,100.0
Panda,0.6625,0.6708860759493671,0.6666666666666666,237.0
Spider,0.1724137931034483,0.15,0.16042780748663102,100.0
Tiger,0.423728813559322,0.6097560975609756,0.5,164.0
Zebra,0.8223140495867769,0.737037037037037,0.77734375,270.0
accuracy,0.4158703780639801,0.4158703780639801,0.4158703780639801,0.4158703780639801
macro avg,0.3623558139553653,0.40944123007137073,0.352570901885565,2407.0
weighted avg,0.4781196299909967,0.4158703780639801,0.41285786352943044,2407.0
