,precision,recall,f1-score,support
Beetle,0.2828282828282828,0.28,0.2814070351758794,100.0
Butterfly,0.3018867924528302,0.48,0.37065637065637064,100.0
Cat,0.5957446808510638,0.14213197969543148,0.22950819672131148,394.0
Cow,0.3877551020408163,0.3220338983050847,0.35185185185185186,177.0
Dog,0.17307692307692307,0.3068181818181818,0.22131147540983606,88.0
Elephant,0.6626016260162602,0.5326797385620915,0.5905797101449275,306.0
Gorilla,0.128,0.5333333333333333,0.2064516129032258,30.0
Hippo,0.16666666666666666,0.38596491228070173,0.2328042328042328,57.0
Lizard,0.1908713692946058,0.46,0.2697947214076246,100.0
Monkey,0.40217391304347827,0.20108695652173914,0.26811594202898553,184.0
Mouse,0.056179775280898875,0.05,0.05291005291005291,100.0
Panda,0.6186440677966102,0.6160337552742616,0.6173361522198731,237.0
Spider,0.14736842105263157,0.14,0.14358974358974358,100.0
Tiger,0.3590733590733591,0.5670731707317073,0.4397163120567376,164.0
Zebra,0.8481012658227848,0.7444444444444445,0.7928994082840237,270.0
accuracy,0.39842127129206484,0.39842127129206484,0.39842127129206484,0.39842127129206484
macro avg,0.3547314830198141,0.38410669139779846,0.33792885454431176,2407.0
weighted avg,0.474071626475776,0.39842127129206484,0.4013437088827286,2407.0
