,precision,recall,f1-score,support
Beetle,0.12962962962962962,0.14,0.1346153846153846,100.0
Butterfly,0.19574468085106383,0.46,0.2746268656716418,100.0
Cat,0.5522388059701493,0.18781725888324874,0.2803030303030303,394.0
Cow,0.2534246575342466,0.20903954802259886,0.22910216718266255,177.0
Dog,0.09433962264150944,0.17045454545454544,0.1214574898785425,88.0
Elephant,0.2619047619047619,0.17973856209150327,0.2131782945736434,306.0
Gorilla,0.0663265306122449,0.43333333333333335,0.11504424778761062,30.0
Hippo,0.022222222222222223,0.017543859649122806,0.0196078431372549,57.0
Lizard,0.14285714285714285,0.08,0.10256410256410256,100.0
Monkey,0.16981132075471697,0.09782608695652174,0.12413793103448276,184.0
Mouse,0.04411764705882353,0.03,0.03571428571428571,100.0
Panda,0.40460526315789475,0.5189873417721519,0.45471349353049906,237.0
Spider,0.1111111111111111,0.14,0.12389380530973451,100.0
Tiger,0.2782258064516129,0.42073170731707316,0.33495145631067963,164.0
Zebra,0.5300751879699248,0.5222222222222223,0.5261194029850746,270.0
accuracy,0.26215205650186957,0.26215205650186957,0.26215205650186957,0.26215205650186957
macro avg,0.2171089593818037,0.2405129643801548,0.20600198670657532,2407.0
weighted avg,0.3042673639402388,0.26215205650186957,0.2601638839125606,2407.0
