,precision,recall,f1-score,support
Beetle,0.16666666666666666,0.2,0.18181818181818182,100.0
Butterfly,0.23958333333333334,0.46,0.3150684931506849,100.0
Cat,0.6041666666666666,0.14720812182741116,0.23673469387755103,394.0
Cow,0.2604166666666667,0.14124293785310735,0.18315018315018314,177.0
Dog,0.12101910828025478,0.2159090909090909,0.15510204081632653,88.0
Elephant,0.4525862068965517,0.3431372549019608,0.3903345724907063,306.0
Gorilla,0.07692307692307693,0.4,0.12903225806451613,30.0
Hippo,0.09,0.15789473684210525,0.11464968152866242,57.0
Lizard,0.19282511210762332,0.43,0.26625386996904027,100.0
Monkey,0.31313131313131315,0.16847826086956522,0.21908127208480566,184.0
Mouse,0.03571428571428571,0.02,0.02564102564102564,100.0
Panda,0.5036764705882353,0.5780590717299579,0.5383104125736738,237.0
Spider,0.08490566037735849,0.09,0.08737864077669903,100.0
Tiger,0.25524475524475526,0.4451219512195122,0.3244444444444444,164.0
Zebra,0.7361111111111112,0.5888888888888889,0.654320987654321,270.0
accuracy,0.31076028250934773,0.31076028250934773,0.31076028250934773,0.31076028250934773
macro avg,0.2755313622471932,0.2923960210027733,0.25475471720272147,2407.0
weighted avg,0.3864899462563383,0.31076028250934773,0.31349003269758335,2407.0
