,precision,recall,f1-score,support
Beetle,0.1732283464566929,0.22,0.19383259911894274,100.0
Butterfly,0.21649484536082475,0.42,0.2857142857142857,100.0
Cat,0.4230769230769231,0.05583756345177665,0.09865470852017937,394.0
Cow,0.23809523809523808,0.14124293785310735,0.1773049645390071,177.0
Dog,0.14049586776859505,0.19318181818181818,0.16267942583732056,88.0
Elephant,0.5562130177514792,0.30718954248366015,0.3957894736842105,306.0
Gorilla,0.09154929577464789,0.43333333333333335,0.1511627906976744,30.0
Hippo,0.07777777777777778,0.12280701754385964,0.09523809523809523,57.0
Lizard,0.13592233009708737,0.42,0.20537897310513448,100.0
Monkey,0.2857142857142857,0.07608695652173914,0.12017167381974249,184.0
Mouse,0.11971830985915492,0.17,0.14049586776859505,100.0
Panda,0.47075208913649025,0.7130801687763713,0.5671140939597316,237.0
Spider,0.07425742574257425,0.15,0.09933774834437085,100.0
Tiger,0.23893805309734514,0.16463414634146342,0.19494584837545126,164.0
Zebra,0.648068669527897,0.5592592592592592,0.6003976143141153,270.0
accuracy,0.28126298296634816,0.28126298296634816,0.28126298296634816,0.28126298296634816
macro avg,0.25935349834913424,0.27644351624975916,0.23254787753579045,2407.0
weighted avg,0.35265724045128116,0.28126298296634816,0.2736667254282162,2407.0
