,precision,recall,f1-score,support
Beetle,0.9484536082474226,0.92,0.934010152284264,100.0
Butterfly,0.8899082568807339,0.97,0.9282296650717703,100.0
Cat,0.9833795013850416,0.9010152284263959,0.9403973509933775,394.0
Cow,0.9830508474576272,0.9830508474576272,0.9830508474576272,177.0
Dog,0.8484848484848485,0.9545454545454546,0.8983957219251337,88.0
Elephant,0.9966329966329966,0.9673202614379085,0.9817578772802653,306.0
Gorilla,0.7894736842105263,1.0,0.8823529411764706,30.0
Hippo,0.9344262295081968,1.0,0.9661016949152542,57.0
Lizard,0.8727272727272727,0.96,0.9142857142857143,100.0
Monkey,0.9576719576719577,0.9836956521739131,0.9705093833780161,184.0
Mouse,0.7850467289719626,0.84,0.8115942028985508,100.0
Panda,1.0,0.9789029535864979,0.9893390191897654,237.0
Spider,0.9565217391304348,0.88,0.9166666666666666,100.0
Tiger,0.9647058823529412,1.0,0.9820359281437125,164.0
Zebra,1.0,0.9925925925925926,0.9962825278810409,270.0
accuracy,0.9547154133776485,0.9547154133776485,0.9547154133776485,0.9547154133776485
macro avg,0.9273655702441309,0.955408199348026,0.9396673129031753,2407.0
weighted avg,0.9575087487759277,0.9547154133776485,0.9551755563222697,2407.0
