,precision,recall,f1-score,support
Beetle,0.2112676056338028,0.3,0.24793388429752067,100.0
Butterfly,0.2694610778443114,0.45,0.33707865168539325,100.0
Cat,0.5294117647058824,0.09137055837563451,0.15584415584415584,394.0
Cow,0.2109375,0.15254237288135594,0.17704918032786884,177.0
Dog,0.15789473684210525,0.20454545454545456,0.1782178217821782,88.0
Elephant,0.5201465201465202,0.46405228758169936,0.4905008635578584,306.0
Gorilla,0.12056737588652482,0.5666666666666667,0.19883040935672514,30.0
Hippo,0.125,0.2807017543859649,0.17297297297297298,57.0
Lizard,0.17857142857142858,0.35,0.23648648648648649,100.0
Monkey,0.3055555555555556,0.11956521739130435,0.171875,184.0
Mouse,0.09166666666666666,0.11,0.1,100.0
Panda,0.6098654708520179,0.5738396624472574,0.591304347826087,237.0
Spider,0.10218978102189781,0.14,0.11814345991561181,100.0
Tiger,0.25301204819277107,0.38414634146341464,0.3050847457627119,164.0
Zebra,0.7349397590361446,0.6777777777777778,0.7052023121387283,270.0
accuracy,0.3302866638969672,0.3302866638969672,0.3302866638969672,0.3302866638969672
macro avg,0.2946991527303753,0.32434720623443536,0.27910161946361994,2407.0
weighted avg,0.3970625142122927,0.3302866638969672,0.32842044365689776,2407.0
