,precision,recall,f1-score,support
Beetle,0.9090909090909091,0.9,0.9045226130653267,100.0
Butterfly,0.897196261682243,0.96,0.927536231884058,100.0
Cat,0.9806629834254144,0.9010152284263959,0.9391534391534392,394.0
Cow,0.9717514124293786,0.9717514124293786,0.9717514124293786,177.0
Dog,0.8469387755102041,0.9431818181818182,0.8924731182795699,88.0
Elephant,0.98989898989899,0.9607843137254902,0.9751243781094527,306.0
Gorilla,0.8055555555555556,0.9666666666666667,0.8787878787878788,30.0
Hippo,0.9047619047619048,1.0,0.95,57.0
Lizard,0.8818181818181818,0.97,0.9238095238095239,100.0
Monkey,0.9526315789473684,0.9836956521739131,0.9679144385026738,184.0
Mouse,0.8235294117647058,0.84,0.8316831683168316,100.0
Panda,0.9956896551724138,0.9746835443037974,0.9850746268656716,237.0
Spider,0.9347826086956522,0.86,0.8958333333333334,100.0
Tiger,0.9590643274853801,1.0,0.9791044776119403,164.0
Zebra,0.992619926199262,0.9962962962962963,0.9944547134935305,270.0
accuracy,0.9505608641462401,0.9505608641462401,0.9505608641462401,0.9505608641462401
macro avg,0.9230661654958378,0.9485383288135838,0.9344815569095073,2407.0
weighted avg,0.9525373243666172,0.9505608641462401,0.9507432998605571,2407.0
