,precision,recall,f1-score,support
Beetle,0.9680851063829787,0.91,0.9381443298969072,100.0
Butterfly,0.9574468085106383,0.9,0.9278350515463918,100.0
Cat,0.9917355371900827,0.9137055837563451,0.9511228533685601,394.0
Cow,0.9772727272727273,0.9717514124293786,0.9745042492917847,177.0
Dog,0.8901098901098901,0.9204545454545454,0.9050279329608939,88.0
Elephant,0.9966442953020134,0.9705882352941176,0.9834437086092715,306.0
Gorilla,0.75,1.0,0.8571428571428571,30.0
Hippo,0.9661016949152542,1.0,0.9827586206896551,57.0
Lizard,0.8151260504201681,0.97,0.8858447488584474,100.0
Monkey,0.9629629629629629,0.9891304347826086,0.9758713136729222,184.0
Mouse,0.7798165137614679,0.85,0.8133971291866029,100.0
Panda,0.9915254237288136,0.9873417721518988,0.9894291754756871,237.0
Spider,0.8969072164948454,0.87,0.883248730964467,100.0
Tiger,0.9371428571428572,1.0,0.967551622418879,164.0
Zebra,1.0,0.9888888888888889,0.994413407821229,270.0
accuracy,0.9530535936850851,0.9530535936850851,0.9530535936850851,0.9530535936850851
macro avg,0.9253918056129801,0.9494573915171856,0.9353157154603038,2407.0
weighted avg,0.9564594949812104,0.9530535936850851,0.9537222841369819,2407.0
