,precision,recall,f1-score,support
Beetle,0.9038461538461539,0.94,0.9215686274509803,100.0
Butterfly,0.9578947368421052,0.91,0.9333333333333333,100.0
Cat,0.9838274932614556,0.9263959390862944,0.954248366013072,394.0
Cow,0.9664804469273743,0.9774011299435028,0.9719101123595506,177.0
Dog,0.8913043478260869,0.9318181818181818,0.9111111111111111,88.0
Elephant,0.9933333333333333,0.9738562091503268,0.9834983498349835,306.0
Gorilla,0.7894736842105263,1.0,0.8823529411764706,30.0
Hippo,0.95,1.0,0.9743589743589743,57.0
Lizard,0.9223300970873787,0.95,0.9359605911330049,100.0
Monkey,0.9631578947368421,0.9945652173913043,0.9786096256684492,184.0
Mouse,0.8446601941747572,0.87,0.8571428571428571,100.0
Panda,0.9957081545064378,0.9789029535864979,0.9872340425531915,237.0
Spider,0.92,0.92,0.92,100.0
Tiger,0.9585798816568047,0.9878048780487805,0.972972972972973,164.0
Zebra,0.9925925925925926,0.9925925925925926,0.9925925925925926,270.0
accuracy,0.9592854175321978,0.9592854175321978,0.9592854175321978,0.9592854175321978
macro avg,0.9355459340667899,0.956889140107832,0.9451262998467697,2407.0
weighted avg,0.9606182669806939,0.9592854175321978,0.9595122627251829,2407.0
